,ID,Match link
0,S9495 - 000,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=59/match=51207/events/index.html
1,S9495 - 001,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=59/match=51213/events/index.html
2,S9495 - 002,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=59/match=51205/events/index.html
3,S9495 - 003,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=59/match=51215/events/index.html
4,S9495 - 004,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=59/match=51219/events/index.html
5,S9495 - 005,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=59/match=51217/events/index.html
6,S9495 - 006,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=59/match=51209/events/index.html
7,S9495 - 007,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=59/match=51211/events/index.html
8,S9495 - 008,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51224/events/index.html
9,S9495 - 009,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51225/events/index.html
10,S9495 - 010,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51236/events/index.html
11,S9495 - 011,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51237/events/index.html
12,S9495 - 012,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51248/events/index.html
13,S9495 - 013,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51249/events/index.html
14,S9495 - 014,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51260/events/index.html
15,S9495 - 015,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51261/events/index.html
16,S9495 - 016,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51226/events/index.html
17,S9495 - 017,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51227/events/index.html
18,S9495 - 018,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51239/events/index.html
19,S9495 - 019,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51238/events/index.html
20,S9495 - 020,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51250/events/index.html
21,S9495 - 021,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51251/events/index.html
22,S9495 - 022,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51262/events/index.html
23,S9495 - 023,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51263/events/index.html
24,S9495 - 024,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51228/events/index.html
25,S9495 - 025,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51229/events/index.html
26,S9495 - 026,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51240/events/index.html
27,S9495 - 027,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51241/events/index.html
28,S9495 - 028,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51252/events/index.html
29,S9495 - 029,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51253/events/index.html
30,S9495 - 030,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51265/events/index.html
31,S9495 - 031,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51264/events/index.html
32,S9495 - 032,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51230/events/index.html
33,S9495 - 033,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51231/events/index.html
34,S9495 - 034,http://www.uefa.com/uefachampionsleague/history/season=1994/matches/round=64/match=51242/events/index.html
